phrasing:n001:p0	R
phrasing:n002:p0	R
phrasing:n003:p0	R
phrasing:n004:p0	R
phrasing:n005:p0	R
phrasing:n006:p0	R
phrasing:n007:p0	R
phrasing:n008:p0	R
phrasing:n009:p0	R
phrasing:n010:p0	R
phrasing:n011:p0	R
phrasing:n012:p0	R
phrasing:n013:p0	R
phrasing:n014:p0	R
phrasing:n015:p0	R
phrasing:n016:p0	R
phrasing:n017:p0	R
phrasing:n018:p0	R
phrasing:n019:p0	R
phrasing:n020:p0	R
phrasing:n021:p0	R
phrasing:n022:p0	R
phrasing:n023:p0	R
phrasing:n024:p0	R
phrasing:n025:p0	R
phrasing:n026:p0	R
phrasing:n027:p0	R
phrasing:n028:p0	R
phrasing:n029:p0	R
phrasing:n030:p0	R
phrasing:n031:p0	R
phrasing:n032:p0	R
phrasing:n033:p0	R
phrasing:n034:p0	R
phrasing:n035:p0	R
phrasing:n036:p0	R
phrasing:n037:p0	R
phrasing:n038:p0	R
phrasing:n039:p0	R
phrasing:n040:p0	R
phrasing:n041:p0	R
phrasing:n042:p0	R
phrasing:n043:p0	R
phrasing:n044:p0	R
phrasing:n045:p0	R
phrasing:n046:p0	R
phrasing:n047:p0	R
phrasing:n048:p0	R
phrasing:n049:p0	R
phrasing:n050:p0	R
phrasing:n051:p0	R
phrasing:n052:p0	R
phrasing:n053:p0	R
phrasing:n054:p0	R
phrasing:n055:p0	R
phrasing:n056:p0	R
phrasing:n057:p0	R
phrasing:n058:p0	R
phrasing:n059:p0	R
phrasing:n060:p0	R
phrasing:n061:p0	R
phrasing:n062:p0	R
phrasing:n063:p0	R
phrasing:n064:p0	R
phrasing:n065:p0	R
phrasing:n066:p0	R
phrasing:n067:p0	R
phrasing:n068:p0	R
phrasing:n069:p0	R
phrasing:n070:p0	R
phrasing:n071:p0	R
phrasing:n072:p0	R
phrasing:n073:p0	R
phrasing:n074:p0	R
phrasing:n075:p0	R
phrasing:n076:p0	R
phrasing:n077:p0	R
phrasing:n078:p0	R
phrasing:n079:p0	R
phrasing:n080:p0	R
phrasing:n081:p0	R
phrasing:n082:p0	R
phrasing:n083:p0	R
